Date|Magnitude|Location
2023-12-10T05:30:07.160|2.1|1 km W Longano (IS)
2023-12-10T06:11:10.170|2.1|11 km W Milo (CT)
2023-12-10T09:13:32|2.7|1 km N Ragalna (CT)
2023-12-10T11:52:50.804|5.9|Peru (Peruvian point of view) [Sea]
2023-12-10T14:11:39.009|5.7|Northern Mariana Islands-Guam [Sea]
2023-12-10T19:16:19.440|3.0|Costa Garganica (Foggia)
2023-12-10T19:51:33.780|2.5|Costa Ionica Cosentina (Cosenza)
2023-12-10T22:39:49.410|2.2|3 km W Sant'Alfio (CT)
2023-12-11T06:33:31.865|6.1|Tonga Islands [Sea: Tonga]
2023-12-11T11:03:08.160|2.9|7 km W Linguaglossa (CT)
2023-12-12T01:34:26.470|2.1|5 km NW Sant'Anatolia di Narco (PG)
